"ccaa","provincia","carretera","carretera_small","salida_carretera","sentido_carretera","tipo_sentido_carretera (si ese sentido aumenta km, ascendente; si no, descendente; pongo 'ambas' cuando está dentro de un pueblo y se puede acceder fácilmente desde ambos sentidos)","pet_friendly","terraza","nombre","descripcion","web","teléfono","coordenada_y","coordenada_x","google_maps","image1",,"otras_observaciones"
"Andalucía","Cádiz","Colonia de Caulina, C. 11 AP-4. Entrada Autopista Sevilla , en Jerez de la Frontera","AP-4","78 (salida)","sevilla_hacia_cadiz","¿ascendente?","No","Sí","Venta Esteban","Huevos revueltos, entremeses y raciones, así como guisos jerezanos.","www.restauranteventaesteban.es",956316067,"36.7022226","-6.0851261","https://www.google.es/maps/place/Venta+Esteban/@36.7022226,-6.0851261,19.14z/data=!4m6!3m5!1s0xd0dc0b5565b6b11:0x17712a4556436a3c!8m2!3d36.7021428!4d-6.0853311!16s%2Fg%2F1vjdr9r7",,,
"Andalucía","Cádiz","Ctra. A-396 KM. 7,700 11150, La Barca de Vejer, Vejer de la Frontera","N-340 (E-5)","36 (km; en N-340) y 7,7 (km; en A-396)","cadiz_hacia_tarifa/malaga","¿ascendente?","Sí","Sí","Venta Pinto","En la antigua Posada de la Barca del siglo XVII, transformada en la Venta Pinto en 1910, hay que pedir el bocadillo de lomo en manteca en su barra y la ensaladilla. También cuentan con una carta para comer sentado en los salones o su terraza. ","https://www.ventapinto.com/",956450877,"36.2534753","-5.9567391","https://www.google.es/maps/place/Venta+Pinto/@36.2534753,-5.9567391,444m/data=!3m1!1e3!4m6!3m5!1s0xd0c45b123ecc7bb:0xa90248852900102a!8m2!3d36.2534549!4d-5.9568065!16s%2Fg%2F12qfxt1hn",,,"De Cádiz hacia Málaga, por la N-340, se incrementan los km"
"Andalucía","Huelva","Calle Alcázar y Pérez, 1 La Palma del Condado","A-49","48 (salida)","sevilla_hacia_huelva","¿ascendente?","Sí","Sí","Taberna Chocaito","Lleva más de medio siglo especializado en marisco, pescados y carne a la brasa.","https://www.tabernachocaito.com/",959401404,"37.3822635","-6.5528428","https://www.google.es/maps/place/Taberna+Chocaito/@37.3822635,-6.5528428,18.56z/data=!4m6!3m5!1s0xd11f22347d85f8b:0x535822eef7ba6a65!8m2!3d37.3821112!4d-6.5528711!16s%2Fg%2F11b6d9g9b1",,,
"Andalucía","Jaén","Ubicado en la puerta de Andalucía, en el Parque Natural de Despeñaperros, junto a la A-4, en el kilómetro 258, en Santa Elena","A-4","257 (salida)","jaen_hacia_madrid","¿descendente?","Sí","Sí","Mesón Despeñaperros","Cuenta con hotel, y un comedor con vistas a la naturaleza. Entre sus platos clásicos, lomo de orza, canelón de jabalí, albóndigas de ciervo, puerro a la leña con romesco o hamburguesa de corzo. Disponen de menú infantil.","https://www.xn--elmesondespeaperros-63b.es/restaurante/",953664100,"38.3439679","-3.5368468","https://www.google.es/maps/place/Restaurante+El+Mes%C3%B3n+Despe%C3%B1aperros/@38.3439679,-3.5368468,18.79z/data=!4m9!3m8!1s0xd6ebc7dc310cff7:0x40b90c1744ff38b7!5m2!4m1!1i2!8m2!3d38.343923!4d-3.536801!16s%2Fg%2F1tj7gdjk",,,
"Andalucía","Málaga","A un paso de la A-45, en la salida hacia Alameda","A-45","86 (salida)","cordoba_hacia_malaga","¿ascendente?","Sí","Sí","Caserío San Benito","Liderada por Esperanza Muñoz de León. Hay que pedir porra antequerana, migas o cualquiera de sus arroces caldosos y platos de cuchara. Las judías pintas con pato son pura maravilla.","https://www.caseriodesanbenito.com/",952111103,"37.1680242","-4.5554814","https://www.google.es/maps/place/Restaurante+Caser%C3%ADo+de+San+Benito/@37.1680242,-4.5554814,18.31z/data=!4m6!3m5!1s0xd729800d05b4965:0x22eb0db57511eca9!8m2!3d37.1682359!4d-4.5554366!16s%2Fg%2F1tdp1tw1",,,
"Andalucía","Málaga","En la A-7 Autovía del Mediterráneo, km 201, La Cala de Mijas","A-7","201 (km)","cadiz_hacia_malaga","¿descendente?","Sí","Sí","La Butibamba","Sus platos de lomos con patatas son clásicos. Hay cuchareo y raciones varias. No es un delicatessen, pero sí un lugar a precios populares estupendo para una parada. También para desayunar.","https://www.ventabutibamba.com/",952492133,"36.5015452","-4.6850089","https://www.google.es/maps/place/Venta+Restaurante+La+Butibamba/@36.5015452,-4.6850089,18.99z/data=!4m6!3m5!1s0xd731e291c0daa61:0xb669920ad764b6d8!8m2!3d36.5016937!4d-4.6847124!16s%2Fg%2F1tpf8g_h",,,
"Andalucía","Málaga","También a un paso de la A-7","A-7","200 (km)","cadiz_hacia_malaga","¿descendente?","Sí","Sí","Florida Beach Mijas","Es un sitio algo más reposado, justo frente al mar y con una carta algo más selecta. Los arroces son estupendos, como la berenjena frita con miel de Ronda o sus pescados. Aunque no suele estar ahí, su cocina está dirigida por Iván Cerdeño. Para una parada un poquito más larga, quizá. ","https://floridabeach.es/palmera-restaurant/",951068807,"36.4936817","-4.6913402","https://www.google.es/maps/place/Florida+Mijas+Beach/@36.4936817,-4.6913402,19.86z/data=!4m6!3m5!1s0xd731f45970409cd:0xf393a606e596c990!8m2!3d36.4937996!4d-4.6911232!16s%2Fg%2F11j0wz47rd",,,
"Andalucía","Sevilla","Poligono Industrial La Campiña, C. Asturias, 2, Écija","A-4","457 (salida)","cordoba_hacia_sevilla","¿ascendente?",,,"Mesón La Campiña","Restaurante dentro de un polígiono para tomar un bocadillo, raciones o guisos.","http://www.mesonlacampina.com/",691418430,"37.530196","-5.1245611","https://www.google.es/maps/place/Meson+La+Campi%C3%B1a/@37.530196,-5.1245611,512m/data=!3m1!1e3!4m6!3m5!1s0xd12ca0afbc772db:0x5616a3e7ad31ddb0!8m2!3d37.5300083!4d-5.1244749!16s%2Fg%2F1thnq0qb",,,
"Aragón","Zaragoza","En la Autovía A-2, con locales en los dos sentidos de la carretera (en el kilómetro 281,6, sentido Madrid, y en el 280, sentido Zaragoza)","A-2","280 (salida desde Madrid) y 281 (salida desde Zaragoza)","madrid_hacia_zaragoza","¿ascendente?","Sí","Sí","Área 280","Ofrece un surtido de bocadillos, entre ellos el de pierna de ternasco encebollado o de longaniza con queso semicurado y alioli, platos combinados, además de un menú diario y de un menú infantil, con platos como pechugas de pollo empanadas, huevo frito, patatas fritas, helado y refresco.","https://area280restaurantes.es",678053742,"41.5164007","-1.2887863","https://www.google.es/maps/place/Restaurante+%C3%81rea+280+Zaragoza+(Los+Olivos)/@41.5164007,-1.2887863,357m/data=!3m1!1e3!4m6!3m5!1s0xd5be15424013503:0x69f22cf2f5dea99d!8m2!3d41.5163251!4d-1.2880229!16s%2Fg%2F11f3nb3pb7",,,
"Asturias","Asturias","En la A-66 Asturias, en Pola de Lena","A-66","59 (salida)","oviedo_hacia_zamora","¿descendente?","No","Sí","Mo. El Bar de Monte","Es el bar de Monte, el restaurante de Xune Andrade, con una estrella Michelin en San Feliz. Ofrece conservas, chacinas de la carnicería de la familia del cocinero, croquetas de Monte, quesos asturianos y carnes.","https://www.montesanfeliz.com/",985075213,"43.1586399","-5.8292459","https://www.google.es/maps/place/MO.+El+bar+de+Monte/@43.1586399,-5.8292459,568m/data=!3m1!1e3!4m6!3m5!1s0xd36fb413c74475d:0x4653f4ecf8e98a5!8m2!3d43.1585772!4d-5.829065!16s%2Fg%2F11r_mk41vh",,,
"Asturias","Asturias","En la carretera Nacional 634. Km 511, 150,  Otur (Luarca)","N-634 (E-70)","511 (km)","asturias_hacia_galicia","¿descendente?","No","No","Casa Consuelo","Se trata de una venta familiar que desde 1935 da de comer a buena parte del que pasa por el Occidente asturiano. Ofrece una comida casera, en la que destacan, la fabada y el salpicón de marisco.","https://www.casaconsuelo.es/",985641696,"43.5400593","-6.5939908","https://www.google.es/maps/place/Restaurante+Casa+Consuelo/@43.5400593,-6.5939908,365m/data=!3m1!1e3!4m6!3m5!1s0xd3159e794af7d37:0xf046db6598a79e5c!8m2!3d43.5400619!4d-6.5938711!16s%2Fg%2F12qhdhqvd",,,
"Baleares","Mallorca","Ma-13A, km 14, 5, Santa Maria del Camí","Ma-13","8 (salida hacia Ma-13A)","palma_hacia_inca","¿descendente?","Sí","Sí","Es Racó d'en Jaume","Esta especializado en platos de carne, en arroces y pescados. Dispone de terrazas, grill y piscina exterior. ","https://www.esracodenjaume.com/",971141266,"39.647894","2.7593577","https://www.google.es/maps/place/Es+Rac%C3%B3+d'en+Jaume/@39.647894,2.7593577,18.34z/data=!4m6!3m5!1s0x1297ea92fcbc8e5f:0x748b78f91f57864b!8m2!3d39.6475677!4d2.7602322!16s%2Fg%2F1hhlnclfb",,,
"Canarias","Las Palmas","En la carretera del Norte, 50. Arucas","GC-2","12 (km; la altura de Arucas)","las-palmas_hacia_el-pagador","¿ascendente?","Sí","Sí","La casa del Duende","Comida casera donde sirven desayunos, almuerzos y cenas.",,928943793,"28.1453453","-15.5560923","https://www.google.es/maps/place/La+casa+del+Duende/@28.1453453,-15.5560923,19.04z/data=!4m6!3m5!1s0xc4092d31cb1ab7b:0x827863e533c249f4!8m2!3d28.145397!4d-15.555772!16s%2Fg%2F11crvvj567",,,
